"Key","en-US","it-IT","zh-CN"
"XYChartDescription","An XY Chart is used to plot data which is not time based, useful to report mathematical functions such as CAM profiles","",""
"Reset","Reset","",""
"RetentivityDescription","Retentivity storage enables you to retain changes made to the project's translations at runtime in a data store.","",""
"RuntimeObjectsGeneration","Runtime objects generation","",""
"RuntimeWidgetGeneration","Runtime widgets generation","",""
"ScrollviewDescription","Samples values of one or more variables at regular time intervals or on command, and stores them in a database.","",""
"ScaledValue","Scaled Value","",""
"ScalingChart","Scaling Chart","",""
"ScalingDataRepresentation","Scaling data rapresentation","",""
"Method1","Method 1","",""
"Method2","Method 2","",""
"NumericalThousandsSeparator","Numerical, with thousands separator","",""
"NumericalNoSeparator","Numerical, without thousands separator","",""
"OffOn","Off/On","",""
"Option1","Option 1","",""
"Option2","Option 2","",""
"Option3","Option 3","",""
"Option4","Option 4","",""
"SelectedRecipeValue","Selected recipe value","",""
"RelativePosDescription","Set the alignment of objects on the xy axis (Top, Bottom, Left, Right, Stretch)\nAutomatically arranges graphical objects vertically or horizontally next to each other.","",""
"StylingDescription","Set the styles of graphical objects, either globally or for specific object classes.","",""
"ShortDateTimeLocal","Short date and time, local","",""
"ShortDateLocal","Short date, local","",""
"ShortDateUtc","Short date, UTC","",""
"ShortTimeLocal","Short time, local","",""
"ShortTimeUtc","Short time, UTC","",""
"ShortDateTimeUtc","ShortDateAndTime, UTC","",""
"Source","Source","",""
"StatusEn","Status en-US","",""
"StatusIt","Status it-IT","",""
"StatusCn","Status zh-CN","",""
"TestNewAlarms","Test new alarms","",""
"HystoricalAlarmGridDescription","The Alarm log grid widget displays alarm events recorded by the configured event logger, such as the Alarm History Grid. Use the Alarm History Grid with filter widget to filter logged data.\n\nYou can customize the data that appears in the Alarm grid by adding additional properties to an alarm to create an alarm type.","",""
"LocalizationDescription","The user locale is personal data that specifies the session locale at runtime. Set the user locale in the LocaleIds property of the User object.","",""
"ReportFooterDescription","This report has been automatically generated by FTOptix Studio","",""
"Time","Time","",""
"Toggle","Toggle","",""
"AuditDescription","Trace variables changes and log who made it.","",""
"TransitionVariable","Transition variable","",""
"Transitioned","Transitioned","",""
"TransitionedEventDescription","Trigger methods if the value of a variable or object property meets a specific condition.","",""
"ReportsDescription","Use a Reports object to design, layout, and generate PDF reports. Reports can include data extracted from FTOptix application and databases.","",""
"RuntimeAlarmsDescription","Use logic to add Alarms at Runtime.","",""
"RuntimeUiDescription","Use logic to add graphical interfaces and objects at Runtime.","",""
"AlarmGridDescription","Use the Alarm grid widget to display and manage alarms at runtime. The Alarm grid widget allows you to display and manage the alarms at runtime. View alarm information and acknowledge and confirm the alarms. ","",""
"EngineeringUnitDescription","Use the engineering unit converter to convert raw data values into scaled values based on a range of customizable values.\n\nTip: For example, the engineering unit converter can transform values from 0 to 65.535 supplied by a temperature sensor into corresponding values on a scale from -20 to +70. \nThe input of an engineering unit converter is generally a dynamic link to an imported tag.","",""
"UserChangePassword","User change password","",""
"UserDetails","User Details","",""
"UserId","User Id","",""
"UserList","User list","",""
"UserLogin","User login","",""
"UserManagement","USER MANAGEMENT","",""
"ValueChange","Value change","",""
"HigherThan50","Value higher than 50","",""
"VariableDefinitions","Variable Definitions","",""
"ConditionalConverterDescription","Verify if the source variable value is True or False.","",""
"RetentiveUpdates","View Retentive Updates","",""
"TrendDescription","View the trend of the values of one or more variables read in real time and/or logged.","",""
"PasswordExpired","Your password is expired. Please enter a new one.","",""
